3.299999952316284180e+00,1.700000047683715820e+00
4.400000095367431641e+00,2.759999990463256836e+00
5.500000000000000000e+00,2.089999914169311523e+00
6.710000038146972656e+00,3.190000057220458984e+00
6.929999828338623047e+00,1.694000005722045898e+00
4.168000221252441406e+00,1.572999954223632812e+00
9.779000282287597656e+00,3.365999937057495117e+00
6.182000160217285156e+00,2.595999956130981445e+00
7.590000152587890625e+00,2.529999971389770508e+00
2.167000055313110352e+00,1.220999956130981445e+00
7.041999816894531250e+00,2.826999902725219727e+00
1.079100036621093750e+01,3.464999914169311523e+00
5.313000202178955078e+00,1.649999976158142090e+00
7.997000217437744141e+00,2.904000043869018555e+00
5.653999805450439453e+00,2.420000076293945312e+00
9.270000457763671875e+00,2.940000057220458984e+00
3.099999904632568359e+00,1.299999952316284180e+00
